,No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
5,166,IIN,165.62M,-,53.71,-,1.65,1.81,5.47,-,-130.10%,191.90%,-20.70%,-,10.70%,18.10,-0.44%,"27,045"
6,167,IMMR,300.99M,-,17.92,-,9.71,5.62,5.37,-,-136.70%,125.00%,-45.40%,15.00%,-7.40%,11.29,-5.36%,"2,207,546"
7,168,IMNM,102.22M,-,-,-,-,-,15.26,-,-33.10%,79.10%,-,-,-,9.68,1.26%,"79,887"
8,169,IMRA,392.27M,-,-,-,-,4.04,4.08,-,-107.00%,-0.50%,-,-,-,22.05,3.38%,"16,698"
9,170,IMTX,714.73M,-,-,-,-,4.57,2.26,-,311.60%,70.30%,-,51.06%,-,10.79,-1.82%,"83,502"
10,171,INDO,55.80M,-,-,-,18.60,3.87,5.87,-,-246.40%,-2.10%,-,-,-,7.50,10.29%,"491,381"
11,172,ING,36.86B,11.44,8.71,28.61,1.17,0.56,0.22,-,1.50%,35.50%,19.90%,0.40%,-10.00%,9.44,0.53%,"2,526,075"
12,173,INMD,1.69B,34.46,21.61,2.50,9.49,7.51,7.20,26.16,129.40%,22.53%,-,13.80%,-,47.48,0.00%,"221,416"
13,174,INS,362.59M,37.04,18.74,-,9.91,8.20,-,30.73,75.30%,137.78%,60.10%,-,52.30%,40.11,-0.32%,"36,404"
14,175,INZY,502.38M,-,-,-,-,2.22,3.15,-,-183.20%,46.20%,-,-11.60%,-,20.64,-4.62%,"37,599"
15,176,IRMD,282.26M,72.15,45.60,4.12,8.28,4.60,5.67,41.51,50.70%,13.64%,31.40%,17.50%,19.70%,22.80,-2.98%,"21,993"
16,177,IRS,447.44M,1.20,-,0.09,0.40,0.31,4.80,-,91.20%,-,-28.90%,13.00%,94.90%,4.51,0.33%,"13,184"
17,178,ISBC,2.64B,13.02,10.08,1.25,2.63,0.94,3.42,22.44,5.10%,18.69%,14.50%,10.38%,9.50%,10.56,0.52%,"972,035"
18,179,ISSC,111.43M,34.14,-,1.71,5.16,3.98,8.84,53.06,74.90%,-,20.60%,20.00%,1.50%,6.52,0.54%,"10,192"
